,price,propertyType,size,exterior,rooms,bathrooms,municipality,distance,status,floor,district,hasLift
186,450.0,penthouse,60.0,True,1,1,Villa del Prado,53238,good,desconocido,desconocido,False
187,720.0,flat,54.0,True,1,1,Madrid,3296,good,bj,Carabanchel,False
188,550.0,penthouse,75.0,True,2,2,Villa del Prado,53247,good,desconocido,desconocido,False
189,720.0,flat,49.0,False,3,1,Madrid,8411,good,3,Villaverde,False
190,740.0,flat,65.0,True,3,1,Madrid,8443,good,1,Vicálvaro,True
192,720.0,flat,56.0,False,2,1,Madrid,6691,good,4,Villaverde,False
193,650.0,flat,31.0,False,1,1,Madrid,1207,good,3,Centro,False
194,650.0,flat,96.0,True,2,1,Aranjuez,43953,good,3,Nuevo Aranjuez-Ciudad de las Artes,False
196,690.0,flat,64.0,True,2,1,Alcalá de Henares,30634,good,bj,Val,False
197,750.0,studio,25.0,True,0,1,Madrid,3177,good,5,Barrio de Salamanca,True
198,725.0,flat,45.0,True,1,1,Madrid,10508,good,2,San Blas,True
199,620.0,flat,85.0,False,1,1,Pinto,19767,good,bj,San José - Buenos Aires,True
200,590.0,flat,52.0,True,1,1,Los Molinos,44526,good,bj,desconocido,False
201,750.0,penthouse,80.0,True,0,1,Tres Cantos,20818,good,1,Zona Industrial,True
202,720.0,studio,36.0,True,0,1,Madrid,5975,good,2,Ciudad Lineal,True
203,700.0,flat,82.0,True,2,1,San Lorenzo de el Escorial,42463,good,3,Centro - Casco Histórico,False
204,692.0,flat,83.0,True,2,2,Torrejón de Ardoz,20294,newdevelopment,desconocido,Suroeste,True
205,670.0,flat,79.0,True,2,2,Torrejón de Ardoz,20294,newdevelopment,desconocido,Suroeste,True
206,609.0,flat,56.0,True,1,1,Alcalá de Henares,30186,newdevelopment,bj,Espartales,True
207,718.0,flat,86.0,True,2,2,Torrejón de Ardoz,20294,newdevelopment,desconocido,Suroeste,True
208,694.0,flat,81.0,True,2,2,Torrejón de Ardoz,20294,newdevelopment,desconocido,Suroeste,True
209,658.0,flat,78.0,True,2,2,Torrejón de Ardoz,20294,newdevelopment,desconocido,Suroeste,True
210,750.0,flat,36.0,False,2,1,Madrid,3620,good,2,Tetuán,True
211,723.0,flat,88.0,True,2,2,Torrejón de Ardoz,20294,newdevelopment,desconocido,Suroeste,True
212,728.0,flat,91.0,True,2,2,Torrejón de Ardoz,20294,newdevelopment,desconocido,Suroeste,True
213,650.0,studio,28.0,True,0,1,Madrid,4920,good,bj,Tetuán,False
214,750.0,flat,60.0,False,2,1,Alcalá de Henares,29663,good,1,Casco Histórico,False
215,735.0,flat,60.0,True,3,1,Parla,20886,good,4,Parque Inlasa,False
216,699.0,penthouse,78.0,True,2,1,Colmenar Viejo,27684,good,2,Centro,False
217,725.0,flat,67.0,True,3,1,Móstoles,17191,good,4,Centro,False
218,740.0,flat,77.0,True,3,2,Alcalá de Henares,28385,good,bj,Reyes Católicos,True
219,720.0,flat,73.0,True,1,1,Collado Villalba,34761,good,2,Villalba Estación,True
220,750.0,flat,79.0,True,3,1,Getafe,11728,good,en,Universidad,True
221,710.0,flat,66.0,True,3,1,Parla,20588,good,4,Parque Inlasa,False
222,725.0,flat,62.0,True,2,1,Madrid,7748,good,3,Latina,False
223,750.0,flat,46.0,False,1,1,Madrid,5680,good,bj,Carabanchel,False
224,750.0,flat,61.0,True,2,1,Madrid,3161,good,1,Carabanchel,True
226,720.0,flat,110.0,False,2,1,Parla,21417,good,desconocido,Las Américas,True
227,720.0,flat,48.0,False,2,1,Madrid,3551,good,bj,Puente de Vallecas,False
228,700.0,flat,57.0,False,2,1,Madrid,8410,good,4,Villaverde,False
229,750.0,duplex,75.0,True,2,2,Cobeña,24176,good,1,desconocido,False
230,610.0,studio,26.0,False,0,1,Madrid,5343,good,3,Tetuán,True
231,740.0,flat,52.0,False,2,1,Móstoles,17525,good,4,Centro,False
232,715.0,flat,62.0,True,2,1,Colmenar Viejo,26558,good,bj,San Crispín - La Estación Consorcio,True
233,550.0,flat,57.0,False,2,1,Aranjuez,43521,good,bj,Foso-Moreras,False
234,710.0,flat,36.0,True,1,1,Madrid,1315,good,bj,Arganzuela,False
235,730.0,flat,51.0,True,2,1,Madrid,8093,good,2,Villaverde,False
236,750.0,studio,23.0,True,0,1,Madrid,1367,good,8,Centro,True
237,690.0,flat,33.0,False,1,1,Madrid,5232,good,3,Tetuán,True
238,740.0,flat,73.0,True,3,1,Parla,21838,good,4,Fuentebella-San Felix-El Leguario,True
239,750.0,duplex,66.0,True,1,1,Madrid,5627,good,bj,Tetuán,True
240,720.0,flat,44.0,False,3,1,Madrid,8176,good,2,Villaverde,False
241,475.0,flat,79.0,True,2,2,Navalafuente,45077,good,2,desconocido,True
242,740.0,flat,41.0,True,2,1,Madrid,4787,good,2,Puente de Vallecas,False
243,740.0,flat,57.0,True,1,1,Madrid,3642,good,1,Latina,True
244,740.0,flat,62.0,True,2,1,Colmenar Viejo,26890,good,1,San Crispín - La Estación Consorcio,True
245,700.0,flat,74.0,False,2,1,Getafe,9950,good,4,Getafe norte,False
246,730.0,flat,35.0,False,1,1,Madrid,760,good,2,Centro,True
247,700.0,studio,28.0,True,0,1,Madrid,9700,good,3,Fuencarral,True
249,750.0,flat,109.0,True,2,2,Valdemoro,24455,good,3,Hospital,True
250,749.0,flat,38.0,True,1,1,Madrid,6506,good,2,Carabanchel,True
251,700.0,studio,30.0,False,0,1,Madrid,2411,good,bj,Retiro,True
252,667.0,flat,70.0,True,1,1,Parla,21185,good,8,Parla Este,True
253,725.0,flat,45.0,False,1,1,Madrid,10398,good,1,San Blas,True
254,550.0,penthouse,70.0,True,3,1,Robledo de Chavela,47595,good,3,desconocido,False
255,695.0,flat,55.0,True,3,1,Parla,19765,good,4,Villayuventus-Renfe,False
256,750.0,flat,105.0,True,3,1,Campo Real,28810,good,1,desconocido,False
