,price,rooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,propertyType_chalet,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,exterior_False,exterior_True,bathrooms_1,bathrooms_2,bathrooms_3
91,650.0,689.5390471579225,692.7072857319412,701.970873786407,678.7988667568208,696.3333379576432,0.2659574468085106,0.6657685285306579,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
92,750.0,695.0776273114345,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.3723404255319149,0.0130289117756545,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
93,720.0,695.0776273114345,706.3623985353242,701.970873786407,702.9283352403625,705.692305461913,0.2659574468085106,0.2703277613316079,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
94,624.0,689.5390471579225,690.9363487011881,691.5338629270304,682.8892293349359,705.692305461913,0.2659574468085106,0.4235548543775371,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
95,633.0,689.5390471579225,690.9363487011881,691.5338629270304,682.8892293349359,705.692305461913,0.2659574468085106,0.4235548543775371,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
96,640.0,695.0776273114345,706.8106482790962,701.970873786407,705.544032472127,705.692305461913,0.1382978723404255,0.1950968748338149,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
97,645.0,704.5562854110732,690.7221836842307,701.970873786407,705.544032472127,705.692305461913,0.6808510638297872,0.7736514633151934,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
98,750.0,689.5390471579225,706.8106482790962,701.970873786407,701.7385556407845,696.3333379576432,0.276595744680851,0.0157055997731019,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
99,735.0,695.0776273114345,706.8106482790962,701.970873786407,710.5365065594968,705.692305461913,0.1595744680851063,0.1933065073653236,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
100,600.0,689.5390471579225,686.2018620137912,686.9905878074868,682.8892293349359,681.6670657879246,0.3723404255319149,0.4432666229415206,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
101,750.0,710.948085191854,706.8106482790962,701.970873786407,682.8892293349359,696.3333379576432,0.5851063829787234,0.1436371049226242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
102,600.0,689.5390471579225,706.8106482790962,701.970873786407,702.9283352403625,705.692305461913,0.0531914893617021,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
