,price,propertyType,exterior,rooms,bathrooms,municipality,status,floor,hasLift,size_MinMax,distance_MinMax,outliers_ifo_0.01_100,outliers_ifo_0.01_400,outliers_ifo_0.01_1000,outliers_ifo_0.01_2000,outliers_ifo_0.05_100,outliers_ifo_0.05_400,outliers_ifo_0.05_1000,outliers_ifo_0.05_2000,outliers_ifo_0.1_100,outliers_ifo_0.1_400,outliers_ifo_0.1_1000,outliers_ifo_0.1_2000
78,690.0,flat,True,2,1,Madrid,good,3,False,0.4787234042553191,0.0804956304397922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
79,700.0,studio,False,0,1,Madrid,good,2,True,0.1063829787234042,0.0152092602768865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
80,730.0,flat,True,3,1,Parla,good,1,False,0.4680851063829787,0.355449984932551,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,750.0,flat,True,1,1,Madrid,good,1,True,0.3297872340425531,0.0576640136138833,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,750.0,flat,False,1,1,Tres Cantos,good,4,True,0.2978723404255319,0.3606083704110754,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,690.0,flat,True,1,1,Madrid,good,desconocido,False,0.1595744680851063,0.0818782904649637,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,750.0,flat,True,3,1,Alcorcón,good,4,True,0.574468085106383,0.2275007533724496,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,700.0,duplex,True,1,1,Madrid,good,bj,False,0.1595744680851063,0.0118589686774325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,720.0,flat,True,1,1,Madrid,good,4,True,0.2340425531914893,0.1444702462198429,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,595.0,flat,True,1,1,Quijorna,good,1,False,0.3723404255319149,0.52321273465336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
